ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,X,Y,VICTIMA,ACUSADO
2021-0034,1,2021-04-19,2021,4,19,14:40:00,14.0,"ALCORTA, AMANCIO AV. y ZAVALETA",AVENIDA,4,-58.40184094,-34.64546845,MOTO,CARGAS
2021-0035,1,2021-05-03,2021,5,3,09:20:00,9.0,"JANER, ANA MARIA Y LAFUENTE AV.",AVENIDA,8,-58.44642231,-34.65679806,MOTO,CARGAS
2021-0036,1,2021-05-09,2021,5,9,06:00:00,6.0,"PAZ, GRAL. AV. Y MOSCONI GENERAL AV.",GRAL PAZ,11,-58.52340614,-34.59798754,MOTO,OBJETO FIJO
2021-0037,1,2021-05-11,2021,5,11,07:10:00,7.0,"MONROE Y BALBIN, RICARDO, DR. AV.",AVENIDA,13,-58.46649069,-34.56219075,PEATON,PASAJEROS
2021-0038,1,2021-05-14,2021,5,14,11:40:00,11.0,"JUSTO, JUAN B. AV. Y SANTA FE AV.",AVENIDA,14,-58.42653328,-34.57816791,MOTO,CARGAS
2021-0039,1,2021-05-15,2021,5,15,12:09:00,12.0,"OLIDEN Y ALBERDI, JUAN BAUTISTA AV.",AVENIDA,9,-58.50407099,-34.65303372,BICICLETA,AUTO
2021-0040,1,2021-05-20,2021,5,20,05:50:00,5.0,"PAZ, GRAL. AV. Y DEL LIBERTADOR AV.",GRAL PAZ,13,-58.46743471,-34.53476874,MOTO,AUTO
2021-0041,1,2021-05-20,2021,5,20,08:30:00,8.0,DEL LIBERTADOR AV. Y CASARES AV.,AVENIDA,14,-58.40986646,-34.5772806,PEATON,PASAJEROS
2021-0042,1,2021-05-21,2021,5,21,05:00:00,5.0,RIVADAVIA AV. 10900,AVENIDA,9,-58.51739138,-34.63931792,PEATON,PASAJEROS
2021-0043,1,2021-05-22,2021,5,22,18:26:00,18.0,"ALBERDI, JUAN BAUTISTA AV. Y PILAR",AVENIDA,9,-58.50719962,-34.65556223,PEATON,AUTO
2021-0044,1,2021-05-25,2021,5,25,02:00:00,2.0,"PERON, EVA AV. Y ACOSTA, MARIANO",AVENIDA,9,-58.46712311,-34.64600222,MOTO,OBJETO FIJO
2021-0045,1,2021-05-26,2021,5,26,17:24:00,17.0,AU FRONDIZI Y SUAREZ AV.,AUTOPISTA,4,-58.37709334,-34.64035082,MOTO,MULTIPLE
2021-0046,1,2021-05-31,2021,5,31,02:00:00,2.0,EL CANO AV. Y GUZMAN AV.,AVENIDA,15,-58.46033141,-34.58569883,AUTO,OBJETO FIJO
2021-0047,1,2021-06-02,2021,6,2,16:00:00,16.0,"VEDIA, AGUSTIN DE Y RABANAL, FRANCISCO, INTENDENTE AV.",AVENIDA,4,-58.42190745,-34.65633192,MOTO,AUTO
2021-0048,1,2021-06-03,2021,6,3,09:58:00,9.0,CAPDEVILLA Y CONGRESO AV.,AVENIDA,12,-58.49026573,-34.5698141,BICICLETA,AUTO
2021-0049,1,2021-06-03,2021,6,3,20:30:00,20.0,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. 4000",AVENIDA,8,-58.45410344,-34.66902702,AUTO,AUTO
2021-0050,1,2021-06-10,2021,6,10,13:30:00,13.0,DEL LIBERTADOR AV. 5958,AVENIDA,13,-58.44751621,-34.55719892,MOTO,PASAJEROS
2021-0051,1,2021-06-15,2021,6,15,19:20:00,19.0,27 DE FEBRERO AV. Y EREZCANO AV.,AVENIDA,4,-58.42040352,-34.66005171,PEATON,CARGAS
2021-0052,1,2021-06-20,2021,6,20,05:40:00,5.0,"PAZ, GRAL. AV. 14723",GRAL PAZ,8,-58.49530249,-34.68010798,MOTO,OBJETO FIJO
2021-0053,1,2021-06-20,2021,6,20,12:00:00,12.0,CORRIENTES AV. 5783,AVENIDA,15,-58.44399875,-34.5947736,PEATON,BICICLETA
2021-0054,1,2021-06-22,2021,6,22,14:44:00,14.0,TABARE Y EREZCANO,CALLE,4,-58.42759813,-34.65463857,MOTO,CARGAS
2021-0055,1,2021-06-29,2021,6,29,12:20:00,12.0,CORRIENTES AV. Y PUEYRREDOR AV.,AVENIDA,3,-58.40547222,-34.60456293,MOTO,CARGAS
2021-0056,1,2021-07-09,2021,7,9,23:25:00,23.0,"CORRALES Y MORENO, PERITO AV.",AVENIDA,4,-58.42473018,-34.6500828,BICICLETA,AUTO
2021-0057,1,2021-07-10,2021,7,10,23:30:00,23.0,"AU ILLIA KM 3.2, ALTURA CABINAS DE PEAJE",AUTOPISTA,2,-58.39257023,-34.57563957,AUTO,OBJETO FIJO
2021-0058,1,2021-07-21,2021,7,21,00:40:00,0.0,AV. GRAL. PAZ Y VEDIA,GRAL PAZ,12,-58.48941042,-34.54596153,PEATON,AUTO
2021-0059,1,2021-07-22,2021,7,22,01:20:00,1.0,"GARAY, JUAN DE AV. 2269",AVENIDA,3,-58.3964074,-34.62783085,AUTO,OBJETO FIJO
2021-0060,1,2021-07-22,2021,7,22,12:30:00,12.0,"SALGUERO, JERONIMO Y RIVADAVIA AV.",AVENIDA,5,-58.41971993,-34.6111224,PEATON,PASAJEROS
2021-0061,1,2021-07-24,2021,7,24,09:15:00,9.0,"MORENO, PERITO AV. Y ALCORTA, AMANCIO AV.",AVENIDA,4,-58.40544588,-34.65012801,PEATON,CARGAS
2021-0062,1,2021-07-27,2021,7,27,07:16:00,7.0,LA PLATA AV. 2723,AVENIDA,4,-58.42003882,-34.64645957,AUTO,CARGAS
